objectId;inSize;totalTime;generated;validated
wp_94_Normalized;23860;8387;True;False;
wp_96_Normalized;100027;8770;True;False;
wp_53_Normalized;100048;9874;True;False;
wp_83_Normalized;100192;9299;True;False;
wp_8_Normalized;100344;9741;True;False;
wp_4_Normalized;100554;10688;True;False;
wp_26_Normalized;107125;9754;True;False;
wp_0_Normalized;109060;9255;True;False;
wp_27_Normalized;109508;8014;True;False;
wp_15_Normalized;109531;7285;True;False;
wp_6_Normalized;111498;9183;True;False;
wp_98_Normalized;111978;6743;True;False;
wp_123_Normalized;116157;7933;True;False;
wp_7_Normalized;116261;7571;True;False;
wp_3_Normalized;127086;7970;True;False;
wp_17_Normalized;139858;7215;True;False;
Percentage of validated instances : 0%
