objectId;error;detail
o41680;/Server error;Server error
o4845;/required;  The object is missing required properties ['curation', 'domain']
o79021;/type;"  The instance must be of type [string"", ""integer""]"""
o25977;/Server error;Server error
o25972;/Server error;Server error
o17671;/Server error;Server error
o48761;/type;"  The instance must be of type array"""""
o41681;/Server error;Server error
o49200;/Server error;Server error
o25944;/Server error;Server error
o14417;/Server error;Server error
o76762;/required;  The object is missing required properties ['like', 'comment']
o46496;/required;  The object is missing required properties ['award', 'lab']
o17612;/Server error;Server error
o20475;/required;  The object is missing required properties ['code']
o14411;/Server error;Server error
o48872;/Server error;Server error
o14416;/Server error;Server error
o77700;/required;  The object is missing required properties ['scheduleToStartTimeout', 'scheduleToCloseTimeout', 'startToCloseTimeout', 'heartbeatTimeout']
o14413;/Server error;Server error
o14410;/Server error;Server error
o17682;/Server error;Server error
o17645;/Server error;Server error
o14414;/Server error;Server error
o17644;/Server error;Server error
