objectId;inSize;totalTime;generated;validated
o41680;443;9096;True;False;
o4845;451;9215;True;False;
o79021;482;8039;True;False;
o25977;515;7967;True;False;
o25972;591;8704;True;False;
o17671;642;8603;True;False;
o48761;689;9114;True;False;
o41681;716;9400;True;False;
o49200;839;9563;True;False;
o25944;958;9922;True;False;
o14417;997;9507;True;False;
o76762;1036;9610;True;False;
o46496;1101;9477;True;False;
o17612;1123;9585;True;False;
o20475;1228;9914;True;False;
o14411;1272;10064;True;False;
o48872;1389;9636;True;False;
o14416;1430;9701;True;False;
o77700;1523;9280;True;False;
o14413;1524;10338;True;False;
o14410;1734;9774;True;False;
o17682;1900;8777;True;False;
o17645;1949;9743;True;False;
o14414;2185;9538;True;False;
o17644;2189;9091;True;False;
o89539;2196;8545;True;False;
o20523;2243;9541;True;False;
o14422;2745;9538;True;False;
o14424;2804;9964;True;False;
o14427;3069;9006;True;False;
o14420;3141;8976;True;False;
o81598;3627;9073;True;False;
o84356;3900;8966;True;False;
o20492;5297;8837;True;False;
o33859;7277;8087;True;False;
o14415;7571;9305;True;False;
o59998;7828;8836;True;False;
o64541;11034;8445;True;False;
o75286;16338;8965;True;False;
o13132;22645;8950;True;False;
Percentage of validated instances : 0%
