objectId,inSize,totalTime,generated
o27825,25,180,True
o67205,43,126,True
o27841,43,133,True
o89637,60,118,True
o27830,61,118,True
o35505,66,121,True
o70252,77,113,True
o31117,81,111,True
o28265,88,111,True
o24891,89,113,True
o27834,96,120,True
o67689,100,113,True
o63996,105,110,True
o19978,106,114,True
o9292,109,121,True
o44862,109,118,True
o25175,112,116,True
o48514,115,113,True
o34210,121,111,True
o63500,124,112,True
o45630,130,113,True
o34208,130,113,True
o13839,131,111,True
o41637,132,109,True
o41627,132,110,True
o83694,139,111,True
o79447,139,111,True
o63326,139,126,True
o9908,141,138,True
o41673,144,112,True
o25177,144,121,True
o63994,147,112,True
o48762,147,121,True
o71844,148,112,True
o36645,149,115,True
o44993,152,122,True
o45229,155,116,True
o70564,160,111,True
o25183,165,111,True
o76869,167,115,True
o44456,167,115,True
o10082,169,113,True
o41609,170,111,True
o25192,170,126,False
o25189,170,114,True
o89088,173,111,True
o82286,173,113,True
o41669,173,110,True
o41665,173,112,True
o25195,173,114,True
o25942,174,110,True
o90933,176,112,True
o80334,176,111,True
o47168,176,113,True
o34211,176,113,True
o77414,178,114,True
o25159,178,115,True
o69753,180,113,True
o10525,183,112,True
o75593,184,114,True
o41671,184,112,True
o45213,185,112,True
o41604,186,112,True
o67198,187,111,True
o17123,191,111,True
o78729,193,112,True
o44006,193,112,True
o9972,194,113,True
o81745,195,112,True
o70292,195,110,True
o26951,197,113,True
o88603,202,114,True
o45634,202,122,True
o41662,202,122,True
o70327,203,124,True
o25166,203,113,True
o10021,206,112,True
o25982,208,123,True
o71845,209,115,True
o17657,210,113,True
o45633,211,112,True
o34209,211,112,True
o53538,212,112,True
o41667,212,113,True
o41664,212,111,True
o89645,213,113,True
o67212,213,115,True
o58635,213,116,True
o55684,217,112,True
o79654,219,117,True
o60109,219,110,True
o58640,219,118,True
o89151,220,112,True
o26952,220,110,True
o89680,221,110,True
o77740,221,114,True
o67193,221,113,True
o41653,222,111,True
o70294,223,115,True
o4366,223,113,True
o21079,223,125,True
o57711,224,123,True
o2060,224,114,True
o17125,224,110,True
o89152,226,113,True
o56764,227,114,True
o24503,227,110,True
o17675,228,112,True
o46560,229,114,True
o13272,229,116,True
o12256,229,115,True
o20469,233,113,True
o19363,234,111,True
o10089,235,115,True
o41773,236,111,True
o9790,237,114,True
o66685,237,117,True
o73935,238,113,True
o24474,238,111,True
o89135,239,115,True
o82288,240,113,True
o6021,241,114,True
o83710,242,112,True
o76651,243,121,True
o45635,243,115,True
o41655,249,113,True
o27832,249,113,True
o9273,252,112,True
o68330,253,114,True
o69512,254,115,True
o82284,255,113,True
o78127,255,121,True
o48164,255,113,True
o48017,258,119,True
o25193,258,117,True
o25190,258,116,True
o88607,259,124,True
o6269,259,116,True
o27031,260,113,True
o21731,261,119,True
o73407,263,120,True
o72209,265,114,True
o25196,266,115,True
o91001,267,112,True
o79439,267,119,True
o69314,267,113,True
o25200,267,123,True
o84174,268,118,True
o76868,268,113,True
o65482,268,114,True
o55101,268,112,True
o48167,268,111,True
o27032,271,114,True
o69507,272,114,True
o41593,272,111,True
o77428,273,111,True
o63987,273,111,True
o28266,273,111,True
o9941,274,112,True
o44010,274,114,True
o64893,275,113,True
o23153,275,113,True
o12240,275,112,True
o83308,277,115,True
o41668,277,112,True
o89941,278,114,True
o78117,278,125,True
o74178,280,111,True
o79494,281,113,True
o67196,282,113,True
o90448,284,113,True
o41082,284,111,True
o76899,286,116,True
o10018,286,113,True
o67374,287,113,True
o90567,288,113,True
o42981,288,115,True
o90442,289,113,True
o78398,290,116,True
o70325,290,113,True
o74489,291,116,True
o42149,291,113,True
o3616,291,115,True
o25988,291,112,True
o10055,291,114,True
o9777,294,114,True
o60115,294,114,True
o9912,296,114,True
o48162,296,112,True
o39485,296,117,True
o24189,296,122,True
o51227,297,115,True
o69909,298,123,True
o26954,298,112,True
o79450,299,125,True
o44989,299,111,True
o91099,300,114,True
o42519,300,128,True
o26589,300,112,True
o81591,301,113,True
o69188,301,121,True
o53908,301,115,True
o58631,303,113,True
o47925,303,113,True
o71534,304,114,True
o84027,305,124,True
o43970,305,111,True
o9948,306,115,True
o63285,306,124,True
o6242,307,111,True
o76865,308,111,True
o64742,308,110,True
o27845,308,111,True
o83139,309,111,True
o72207,311,113,True
o17608,311,114,True
o12345,311,113,True
o42299,312,114,True
o83739,313,123,True
o27838,313,114,True
o61344,314,118,True
o91109,315,115,True
o89704,317,113,True
o78110,317,115,True
o9909,318,114,True
o83695,319,117,True
o72587,319,115,True
o83693,320,118,True
o46999,320,113,True
o25182,320,115,True
o21459,320,114,True
o62775,321,125,True
o6209,321,113,True
o73918,322,114,True
o65371,323,116,True
o53905,323,116,True
o63977,324,117,True
o40229,324,115,True
o28263,324,114,True
o25793,324,115,True
o10059,324,118,True
o79589,325,115,True
o21828,326,114,True
o76160,327,117,True
o53909,327,114,True
o46364,327,121,True
o54984,328,111,True
o17626,329,123,True
o81567,330,116,True
o34373,330,114,True
o91006,331,115,True
o41599,331,112,True
o31608,331,115,True
o83723,332,116,True
o73042,332,116,True
o48244,332,113,True
o78089,333,115,True
o69525,333,115,True
o50970,334,114,True
o13948,334,112,True
o9818,335,114,True
o53906,335,113,True
o39440,335,114,True
o63950,336,114,True
o48513,336,126,True
o45193,337,114,True
o41590,338,111,True
o27835,338,112,True
o80622,339,114,True
o76583,340,114,True
o21730,340,112,True
o25194,341,116,True
o25191,341,115,True
o85922,342,114,True
o43981,343,117,True
o70022,344,114,True
o48805,344,114,True
o69756,345,115,True
o78453,346,122,True
o60137,346,117,True
o46259,346,114,True
o41658,346,110,True
o74595,347,121,True
o44972,348,119,True
o40225,348,117,True
o81573,349,120,True
o78451,349,114,True
o58865,349,121,True
o66644,350,116,True
o9850,351,115,True
o62379,351,122,True
o89702,352,114,True
o76909,352,113,True
o50969,352,116,True
o67200,353,112,True
o39423,353,113,True
o83384,354,113,True
o56137,355,115,True
o40355,355,112,True
o9812,356,116,True
o75109,356,111,True
o20466,356,113,True
o16363,356,113,True
o83725,357,112,True
o76665,357,115,False
o73044,357,128,True
o9799,358,115,True
o27843,358,123,True
o12642,358,113,True
o20458,359,112,True
o43007,360,127,True
o25186,360,112,True
o25185,360,116,True
o91003,361,112,True
o79481,361,111,True
o79441,362,122,True
o12491,362,125,True
o78129,363,127,True
o45117,363,128,True
o41702,363,110,True
o36464,363,123,True
o57656,364,114,True
o81593,365,113,True
o51255,365,122,True
o77425,366,121,True
o71424,366,113,True
o17681,367,113,True
o12488,367,122,True
o63515,368,118,True
o49989,369,113,True
o12220,369,124,True
o71539,372,114,True
o33732,372,127,True
o9949,373,113,True
o68438,373,123,True
o59673,373,112,True
o41592,373,112,True
o65468,374,113,True
o47167,375,115,True
o44260,375,122,True
o85193,376,111,True
o80287,376,124,True
o47860,377,123,True
o3620,377,126,True
o89499,378,123,True
o67501,378,116,True
o42024,378,115,True
o85901,379,115,True
o76642,379,114,False
o76554,379,116,True
o25169,379,115,True
o89522,380,115,True
o3211,381,116,True
o6205,382,114,True
o84263,383,112,True
o44262,383,114,True
o12387,383,118,False
o9365,384,114,False
o2058,385,115,True
o12209,385,114,True
o70288,386,112,True
o23148,386,114,True
o76639,388,114,False
o63288,388,113,True
o60269,388,118,True
o64870,389,113,True
o40223,389,112,True
