objectId,nbErrors,errorsTypes,errorsMessages
o25196,1,type,$.baz: string a été trouvé     mais number est attendu
o75109,1,oneOf,$: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}
o89522,2,"maximum,multipleOf",$.price: ne doit pas dépasser la valeur 20$.price: doit être un multiple de 2.5
o2058,1,required,$.text est un champ obligatoire mais manquant
o57232,1,required,$._metadata est un champ obligatoire mais manquant
o89521,2,"maximum,multipleOf",$.price: ne doit pas dépasser la valeur 20$.price: doit être un multiple de 2.5
o79442,1,type,$.results.dolore__: integer a été trouvé     mais string est attendu
o10318,1,readOnly,$: est un champ en lecture seule et ne peut pas être modifié
o30283,1,type,$.mode: string a été trouvé     mais object est attendu
o2140,2,"anyOf,anyOf",$.@context: devrait être valide pour au moins un schéma de string$.@context: devrait être valide pour au moins un schéma de array
o58209,1,required,$[0].address est un champ obligatoire mais manquant
o74408,1,minItems,$.assertions: doit contenir au moins 1 éléments
o25969,1,required,$.d.c.b est un champ obligatoire mais manquant
o21083,1,required,$.id est un champ obligatoire mais manquant
o9939,1,format,$.email: ne correspond pas à jKCeLvX46txvrB@YlfnPFGrRWMYnVfvemUSAPTepZFG.azx du modèle email
o6178,1,required,$.deviceClass est un champ obligatoire mais manquant
o58916,1,format,$.person.email: ne correspond pas à I0tNWT-S0@idVQaikCRldqAOLWaATpuMPgfaIuyEj.hl du modèle email
o58907,1,format,$.authentication.email: ne correspond pas à Tgbhpgc@JKtGLmGdEsnZyQqrjcqzQNOyBuFll.zgh du modèle email
o4834,2,"required,required",$.a est un champ obligatoire mais manquant$.b est un champ obligatoire mais manquant
o57603,6,"required,required,required,required,required,required",$.XMin est un champ obligatoire mais manquant    $.XMax est un champ obligatoire mais manquant    $.YMin est un champ obligatoire mais manquant    $.YMax est un champ obligatoire mais manquant    $.ZMin est un champ obligatoire mais manquant$.ZMax est un champ obligatoire mais manquant
o19070,2,"required,required",$.win est un champ obligatoire mais manquant$.lose est un champ obligatoire mais manquant
o81530,1,oneOf,$.rating: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}
o20478,1,type,$.scope: string a été trouvé     mais array est attendu
o12176,1,format,$.contact: ne correspond pas à DAh6Epx7Ydfw@suxctQkcyCAIYLNrWifZsqfjgtNQmYRMO.fti du modèle email
o78064,4,"format,format,format,format",$.authors[0].email: ne correspond pas à U2TEpCV2QMJ@MSnvuCWtRkddijZEmJ.mvra du modèle email    $.authors[1].email: ne correspond pas à 4PKj@dPLwF.rat du modèle email    $.authors[2].email: ne correspond pas à t1SfK-sT@UaOiwAhDtTHehBIGkKoJgetTkQxi.pq du modèle email$.authors[3].email: ne correspond pas à kTiPu8@TArLupg.fzff du modèle email
o15725,1,minItems,$.continent_dims: doit contenir au moins 2 éléments
o90889,3,"required,required,required",$.sub-product.id est un champ obligatoire mais manquant    $.sub-product.name est un champ obligatoire mais manquant$.sub-product.price est un champ obligatoire mais manquant
o6237,4,"format,format,format,format",$[0].email: ne correspond pas à afD2qVDFIFoInrY@HEDaeZtOYZyXMlaMcYTQBtFgeM.ixpu du modèle email    $[1].email: ne correspond pas à 5nImP@BXkAhNZZe.zk du modèle email    $[2].email: ne correspond pas à 9D3dJC-fuHryvf7@zY.dls du modèle email$[3].email: ne correspond pas à pV0@nOXfhQQM.wjpd du modèle email
o9806,3,"format,format,format",$.toEmail[0]: ne correspond pas à ANu0aqv@aND.ntg du modèle email    $.toEmail[1]: ne correspond pas à YX9DMt8WHOw9Dc@EWjgSClXcrMvZZmH.ifvy du modèle email$.toEmail[2]: ne correspond pas à Y3Cy-Efv@hVnQRuFFFsLSNteeMSTgFsqGDNd.tagh du modèle email
o84345,2,"required,readOnly",$.id est un champ obligatoire mais manquant$.from: est un champ en lecture seule et ne peut pas être modifié
o12290,1,required,$.keysVisible est un champ obligatoire mais manquant
o9931,1,format,$.email: ne correspond pas à DyMNSuoujkbA1c6@yzFEBtDAsymTyxqJahaN.jmnh du modèle email
o90946,1,oneOf,$.subject: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}
o68300,3,"type,type,type",$.siteId: string a été trouvé     mais number est attendu    $.networkId: string a été trouvé     mais number est attendu$.unitId: string a été trouvé     mais number est attendu
o17663,4,"required,additionalProperties,additionalProperties,additionalProperties",$.d est un champ obligatoire mais manquant    $.$schema nest pas défini dans le schéma et le schéma nautorise pas de propriétés supplémentaires    $.definitions nest pas défini dans le schéma et le schéma nautorise pas de propriétés supplémentaires$.$ref nest pas défini dans le schéma et le schéma nautorise pas de propriétés supplémentaires
o16041,1,required,$.result.idc.value est un champ obligatoire mais manquant
o46416,1,multipleOf,$.amount: doit être un multiple de 0.01
o28187,1,required,$.sellerServiceOrEndpointId est un champ obligatoire mais manquant
o1316,1,format,$.Email: ne correspond pas à zjedYJ9oGgQv@THiGfjmNpucgihKdxAaL.ojcu du modèle email
o58906,1,format,$.account.contact_email: ne correspond pas à MC8-lVGrSfo-9g@lZhdNGYzsqQrWobvpe.mzgx du modèle email
o47150,2,"required,required",$.vegetables[0].item est un champ obligatoire mais manquant$.vegetables[1].item est un champ obligatoire mais manquant
o9778,1,format,$.email: ne correspond pas à QcpmVOynt@jPJlZgcriQO.wmq du modèle email
o57452,1,required,$.interal_id est un champ obligatoire mais manquant
o17600,4,"format,format,format,format",$.emails[0]: ne correspond pas à 5YFp-SR@XzOfEQQqXVwLpxTElYjZWwjYQQRihGSRZ.onc du modèle email    $.emails[1]: ne correspond pas à MNi0SsK2A@FnCzKnKlBnQwqU.iw du modèle email    $.emails[2]: ne correspond pas à nEylEWRi9@NETCNXGqeogVQaeEnOKXTBSgKZLXS.wrj du modèle email$.emails2[0]: ne correspond pas à BHZOTPGG1m2cAEu@SqrTIoQOpwqlvroquAgHo.uqic du modèle email
o74410,2,"required,required",$[0].tests[0].data est un champ obligatoire mais manquant$[0].tests[1].data est un champ obligatoire mais manquant
o73983,1,required,$.gid est un champ obligatoire mais manquant
