objectId,inSize,totalTime,generated
o41680,443,127,True
o4845,451,116,True
o79021,482,117,True
o25977,515,117,True
o25972,591,126,True
o17671,642,126,True
o48761,689,116,True
o41681,716,116,True
o49200,839,118,True
o25944,958,126,True
o14417,997,120,True
o76762,1036,120,True
o46496,1101,122,True
o17612,1123,118,True
o20475,1228,118,True
o14411,1272,122,True
o48872,1389,122,True
o14416,1430,121,True
o77700,1523,127,True
o14413,1524,121,True
o14410,1734,120,True
o17682,1900,123,True
o17645,1949,118,True
o14414,2185,118,True
o17644,2189,120,True
o89539,2196,117,True
o20523,2243,120,True
o14422,2745,118,True
o14424,2804,118,True
o14427,3069,118,True
o14420,3141,116,True
o81598,3627,119,True
o84356,3900,118,True
o20492,5297,116,True
o33859,7277,121,True
o14415,7571,119,True
o59998,7828,118,True
o64541,11034,118,True
o75286,16338,123,True
o13132,22645,125,True
