objectId,inSize,totalTime,generated
kb_505_Normalized,123,119,True
kb_504_Normalized,123,122,True
kb_503_Normalized,123,123,True
kb_660_Normalized,135,117,True
kb_659_Normalized,135,131,True
kb_563_Normalized,137,126,True
kb_562_Normalized,137,121,True
kb_502_Normalized,158,120,True
kb_501_Normalized,158,117,True
kb_500_Normalized,158,120,True
kb_493_Normalized,188,116,True
kb_492_Normalized,188,119,True
kb_491_Normalized,188,128,True
kb_499_Normalized,197,119,True
kb_498_Normalized,197,122,True
kb_497_Normalized,197,120,True
kb_960_Normalized,242,121,True
kb_959_Normalized,242,122,True
kb_958_Normalized,242,119,True
kb_1063_Normalized,246,122,True
kb_1062_Normalized,246,116,True
kb_872_Normalized,337,119,True
kb_871_Normalized,337,124,True
kb_870_Normalized,337,122,True
kb_919_Normalized,351,121,True
kb_917_Normalized,361,116,True
kb_916_Normalized,361,118,True
kb_920_Normalized,362,117,True
kb_918_Normalized,362,118,True
kb_12_Normalized,382,114,True
kb_11_Normalized,382,115,True
kb_9_Normalized,385,116,True
kb_8_Normalized,385,119,True
kb_7_Normalized,385,116,True
kb_224_Normalized,391,115,True
kb_223_Normalized,391,120,True
kb_341_Normalized,396,122,True
kb_340_Normalized,396,130,True
kb_339_Normalized,396,116,True
kb_1093_Normalized,398,127,True
kb_1092_Normalized,398,119,True
kb_704_Normalized,399,122,True
kb_703_Normalized,399,116,True
kb_464_Normalized,402,117,True
kb_463_Normalized,402,126,True
kb_716_Normalized,417,129,True
kb_715_Normalized,417,117,True
kb_706_Normalized,437,122,True
kb_705_Normalized,437,116,True
kb_361_Normalized,440,117,True
kb_360_Normalized,440,118,True
kb_883_Normalized,441,116,True
kb_542_Normalized,444,119,True
kb_541_Normalized,444,119,True
kb_773_Normalized,447,117,True
kb_772_Normalized,447,124,True
kb_10_Normalized,447,117,True
kb_885_Normalized,461,122,True
kb_884_Normalized,461,119,True
kb_882_Normalized,461,119,True
kb_334_Normalized,500,123,True
kb_333_Normalized,500,119,True
kb_219_Normalized,500,118,True
kb_218_Normalized,500,126,True
kb_217_Normalized,500,120,True
kb_1057_Normalized,515,130,True
kb_1056_Normalized,515,121,True
kb_299_Normalized,518,124,True
kb_298_Normalized,518,132,True
kb_297_Normalized,518,123,True
kb_384_Normalized,523,118,True
kb_383_Normalized,523,118,True
kb_755_Normalized,524,117,True
kb_754_Normalized,524,121,True
kb_424_Normalized,526,115,True
kb_423_Normalized,526,116,True
kb_132_Normalized,527,114,True
kb_131_Normalized,527,113,True
kb_82_Normalized,531,116,True
kb_81_Normalized,531,115,True
kb_636_Normalized,551,115,True
kb_635_Normalized,551,117,True
kb_634_Normalized,551,122,True
kb_609_Normalized,559,119,True
kb_608_Normalized,559,115,True
kb_42_Normalized,584,117,True
kb_41_Normalized,584,130,True
kb_580_Normalized,591,122,True
kb_579_Normalized,591,131,True
kb_944_Normalized,613,117,True
kb_943_Normalized,613,119,True
kb_433_Normalized,613,116,True
kb_432_Normalized,613,115,True
kb_643_Normalized,618,119,True
kb_642_Normalized,618,117,True
kb_1156_Normalized,641,117,True
kb_1155_Normalized,641,117,True
kb_1126_Normalized,648,125,True
kb_1125_Normalized,648,127,True
kb_431_Normalized,668,119,True
kb_411_Normalized,684,130,True
kb_410_Normalized,684,114,True
kb_975_Normalized,687,116,True
kb_974_Normalized,687,120,True
kb_1137_Normalized,687,118,True
kb_1136_Normalized,687,117,True
kb_682_Normalized,688,115,True
kb_681_Normalized,688,117,True
kb_1135_Normalized,697,117,True
kb_416_Normalized,703,116,True
kb_415_Normalized,703,120,True
kb_936_Normalized,708,123,True
kb_935_Normalized,708,118,True
kb_538_Normalized,711,117,True
kb_537_Normalized,711,118,True
kb_108_Normalized,720,117,True
kb_107_Normalized,720,115,True
kb_62_Normalized,736,118,True
kb_61_Normalized,736,118,True
kb_359_Normalized,747,118,True
kb_358_Normalized,747,117,True
kb_351_Normalized,757,117,True
kb_350_Normalized,757,117,True
kb_414_Normalized,764,118,True
kb_122_Normalized,764,116,True
kb_121_Normalized,764,117,True
kb_110_Normalized,767,115,True
kb_109_Normalized,767,116,True
kb_386_Normalized,770,117,True
kb_385_Normalized,770,116,True
kb_353_Normalized,775,119,True
kb_352_Normalized,775,116,True
kb_745_Normalized,777,142,True
kb_744_Normalized,777,117,True
kb_128_Normalized,793,122,True
kb_127_Normalized,793,116,True
kb_869_Normalized,796,116,True
kb_868_Normalized,796,119,True
kb_867_Normalized,796,120,True
kb_866_Normalized,796,119,True
kb_338_Normalized,805,128,True
kb_337_Normalized,805,118,True
kb_413_Normalized,808,117,True
kb_412_Normalized,808,130,True
kb_967_Normalized,819,117,True
kb_966_Normalized,819,117,True
kb_938_Normalized,825,122,True
kb_937_Normalized,825,120,True
kb_547_Normalized,827,126,True
kb_546_Normalized,827,127,True
kb_1082_Normalized,831,117,True
kb_1081_Normalized,831,127,True
kb_989_Normalized,837,118,True
kb_987_Normalized,837,128,True
kb_986_Normalized,837,115,True
kb_56_Normalized,849,118,True
kb_55_Normalized,849,132,True
kb_60_Normalized,858,117,True
kb_59_Normalized,858,123,True
kb_925_Normalized,881,116,True
kb_923_Normalized,881,117,True
kb_15_Normalized,896,128,True
kb_14_Normalized,896,127,True
kb_158_Normalized,912,118,True
kb_157_Normalized,912,118,True
kb_156_Normalized,912,118,True
kb_155_Normalized,912,119,True
kb_656_Normalized,914,119,True
kb_655_Normalized,914,118,True
kb_654_Normalized,914,132,True
kb_1075_Normalized,937,129,True
kb_1074_Normalized,937,132,True
kb_1073_Normalized,937,124,True
kb_753_Normalized,948,116,True
kb_752_Normalized,948,117,True
kb_619_Normalized,949,117,True
kb_618_Normalized,949,117,True
kb_962_Normalized,950,122,True
kb_961_Normalized,950,125,True
kb_680_Normalized,950,118,True
kb_679_Normalized,950,119,True
kb_13_Normalized,959,119,True
kb_674_Normalized,964,120,True
kb_673_Normalized,964,123,True
kb_1088_Normalized,975,116,True
kb_1087_Normalized,975,115,True
kb_1061_Normalized,1042,122,True
kb_1060_Normalized,1042,120,True
kb_641_Normalized,1046,119,True
kb_640_Normalized,1046,119,True
kb_639_Normalized,1046,131,True
kb_418_Normalized,1054,121,True
kb_417_Normalized,1054,120,True
kb_1069_Normalized,1069,124,True
kb_1068_Normalized,1069,116,True
kb_473_Normalized,1073,116,True
kb_472_Normalized,1073,115,True
kb_1128_Normalized,1077,125,True
kb_600_Normalized,1078,126,True
kb_599_Normalized,1078,119,True
kb_1130_Normalized,1078,114,True
kb_1129_Normalized,1078,121,True
kb_1127_Normalized,1078,116,True
