objectId,nbErrors,errorsTypes,errorsMessages
kb_184_Normalized,4,"unionType,unionType,unionType,unionType",$.jsonPath : object trouvé     mais [string     null] est requis    $.name : object trouvé     mais [string     null] est requis    $.priority : object trouvé     mais [integer     null] est requis$.type : object trouvé     mais [string     null] est requis
kb_778_Normalized,2,"type,type",$.tcpSocket.port: object a été trouvé     mais string est attendu$.tcpSocket.port: object a été trouvé     mais integer est attendu
kb_521_Normalized,4,"type,type,type,type",$.postStart.httpGet.port: object a été trouvé     mais integer est attendu    $.postStart.httpGet.port: object a été trouvé     mais string est attendu    $.postStart.tcpSocket.port: object a été trouvé     mais string est attendu$.postStart.tcpSocket.port: object a été trouvé     mais integer est attendu
kb_556_Normalized,2,"type,type",$.resource.current.averageValue: object a été trouvé     mais string est attendu$.resource.current.averageValue: object a été trouvé     mais number est attendu
kb_552_Normalized,8,"type,type,type,type,type,type,type,type",$.external.targetAverageValue: object a été trouvé     mais number est attendu    $.external.targetAverageValue: object a été trouvé     mais string est attendu    $.external.targetValue: object a été trouvé     mais number est attendu    $.external.targetValue: object a été trouvé     mais string est attendu    $.pods.targetAverageValue: object a été trouvé     mais number est attendu    $.pods.targetAverageValue: object a été trouvé     mais string est attendu    $.resource.targetAverageValue: object a été trouvé     mais number est attendu$.resource.targetAverageValue: object a été trouvé     mais string est attendu
kb_554_Normalized,2,"type,type",$.resource.target.value: object a été trouvé     mais string est attendu$.resource.target.value: object a été trouvé     mais number est attendu
kb_220_Normalized,2,"type,type",$.openAPIV3Schema.definitions.type: string a été trouvé     mais object est attendu$.openAPIV3Schema.oneOf[0].definitions.type: string a été trouvé     mais object est attendu
kb_736_Normalized,4,"type,type,type,type",$.initContainerStatuses[0].lastState.running.startedAt: object a été trouvé     mais string est attendu    $.initContainerStatuses[0].lastState.terminated.finishedAt: object a été trouvé     mais string est attendu    $.initContainerStatuses[0].lastState.terminated.startedAt: object a été trouvé     mais string est attendu$.initContainerStatuses[1].lastState.terminated.startedAt: object a été trouvé     mais string est attendu
kb_408_Normalized,6,"required,required,required,required,required,required",$.currentMetrics[1].external.metric.name est un champ obligatoire mais manquant    $.currentMetrics[1].object.metric.name est un champ obligatoire mais manquant    $.currentMetrics[2].external.metric.name est un champ obligatoire mais manquant    $.currentMetrics[2].object.metric.name est un champ obligatoire mais manquant    $.currentMetrics[3].external.metric.name est un champ obligatoire mais manquant$.currentMetrics[3].object.metric.name est un champ obligatoire mais manquant
kb_761_Normalized,1,type,$.metadata.managedFields[0].time: object a été trouvé     mais string est attendu
