objectId,inSize,totalTime,generated
sp_208_Normalized,234,136,False
sp_207_Normalized,234,128,False
sp_206_Normalized,234,126,False
sp_69_Normalized,275,119,True
sp_70_Normalized,279,122,True
sp_228_Normalized,285,120,True
sp_229_Normalized,287,123,True
sp_234_Normalized,289,116,True
sp_231_Normalized,291,118,True
sp_239_Normalized,296,122,True
sp_74_Normalized,307,118,True
sp_218_Normalized,333,116,True
sp_214_Normalized,369,118,False
sp_237_Normalized,371,122,True
sp_240_Normalized,378,128,True
sp_147_Normalized,387,116,True
sp_270_Normalized,397,117,True
sp_238_Normalized,400,117,True
sp_176_Normalized,400,131,True
sp_233_Normalized,401,120,True
sp_271_Normalized,402,118,True
sp_382_Normalized,408,116,False
sp_141_Normalized,408,117,True
sp_48_Normalized,428,116,True
sp_174_Normalized,435,118,True
sp_315_Normalized,439,118,True
sp_260_Normalized,455,117,True
sp_256_Normalized,455,120,True
sp_171_Normalized,458,115,True
sp_278_Normalized,464,117,True
sp_60_Normalized,467,116,True
sp_325_Normalized,489,114,True
sp_78_Normalized,495,117,True
sp_327_Normalized,495,116,True
sp_86_Normalized,502,124,True
sp_89_Normalized,506,115,True
sp_146_Normalized,506,118,True
sp_85_Normalized,509,117,True
sp_92_Normalized,510,117,True
sp_405_Normalized,511,120,True
sp_301_Normalized,513,119,True
sp_59_Normalized,514,128,True
sp_414_Normalized,516,120,True
sp_71_Normalized,525,119,True
sp_148_Normalized,531,128,True
sp_40_Normalized,536,117,True
sp_159_Normalized,537,119,True
sp_158_Normalized,539,119,True
sp_67_Normalized,550,117,True
sp_164_Normalized,550,120,True
sp_324_Normalized,552,119,True
sp_318_Normalized,557,119,True
sp_42_Normalized,563,116,True
sp_262_Normalized,572,117,True
sp_248_Normalized,572,124,True
sp_165_Normalized,575,121,True
sp_216_Normalized,580,121,True
sp_44_Normalized,592,120,True
sp_413_Normalized,596,119,True
sp_41_Normalized,599,118,True
sp_57_Normalized,602,120,True
sp_39_Normalized,602,124,True
sp_166_Normalized,610,134,True
sp_320_Normalized,621,118,True
sp_167_Normalized,623,116,True
sp_273_Normalized,626,124,True
sp_282_Normalized,637,126,True
sp_11_Normalized,639,128,True
sp_168_Normalized,642,134,True
sp_272_Normalized,645,125,True
sp_380_Normalized,653,120,True
sp_161_Normalized,656,119,True
sp_33_Normalized,668,115,True
sp_28_Normalized,668,117,True
sp_321_Normalized,677,131,True
sp_290_Normalized,686,118,True
sp_326_Normalized,691,121,True
sp_297_Normalized,692,118,True
sp_242_Normalized,701,126,True
sp_156_Normalized,702,121,True
sp_294_Normalized,703,119,True
