objectId,inSize,totalTime,generated
wp_87_Normalized,117,126,True
wp_86_Normalized,118,120,True
wp_82_Normalized,133,133,True
wp_59_Normalized,133,119,True
wp_61_Normalized,145,120,True
wp_60_Normalized,147,126,True
wp_90_Normalized,154,120,True
wp_66_Normalized,154,115,True
wp_95_Normalized,159,119,True
wp_69_Normalized,163,114,True
wp_36_Normalized,164,117,True
wp_70_Normalized,171,113,True
wp_71_Normalized,180,116,True
wp_44_Normalized,196,123,True
wp_39_Normalized,196,122,True
wp_56_Normalized,206,120,True
wp_108_Normalized,217,118,True
wp_50_Normalized,225,118,True
wp_40_Normalized,242,117,True
wp_46_Normalized,244,123,True
wp_52_Normalized,253,118,True
wp_64_Normalized,256,119,True
wp_97_Normalized,283,117,True
wp_92_Normalized,290,116,True
wp_38_Normalized,293,114,True
wp_99_Normalized,316,117,True
wp_101_Normalized,329,122,True
wp_43_Normalized,334,112,True
wp_88_Normalized,360,120,True
wp_67_Normalized,373,116,True
wp_41_Normalized,401,128,True
wp_42_Normalized,500,123,True
wp_54_Normalized,549,121,True
wp_62_Normalized,571,116,True
wp_77_Normalized,579,125,True
wp_91_Normalized,627,126,True
wp_55_Normalized,634,123,True
wp_93_Normalized,640,128,True
wp_58_Normalized,642,124,True
wp_65_Normalized,659,132,True
wp_106_Normalized,680,115,True
wp_49_Normalized,753,122,True
wp_120_Normalized,808,115,True
wp_109_Normalized,832,120,True
wp_72_Normalized,858,133,True
wp_110_Normalized,913,132,True
wp_122_Normalized,1066,121,True
wp_104_Normalized,1072,115,True
wp_102_Normalized,1135,117,True
wp_84_Normalized,1184,125,True
wp_121_Normalized,1220,123,True
wp_63_Normalized,1230,119,True
wp_45_Normalized,1252,118,True
wp_37_Normalized,1290,122,True
wp_76_Normalized,1300,120,True
wp_89_Normalized,1605,122,True
wp_80_Normalized,1652,130,True
wp_10_Normalized,1721,125,True
wp_85_Normalized,1750,119,True
wp_119_Normalized,2303,125,True
wp_68_Normalized,2344,123,True
wp_75_Normalized,2349,121,True
wp_115_Normalized,2424,119,True
wp_22_Normalized,2696,125,True
wp_48_Normalized,2754,128,True
wp_111_Normalized,2754,126,True
wp_79_Normalized,2790,126,True
wp_32_Normalized,2819,148,True
wp_24_Normalized,2829,131,True
wp_18_Normalized,2905,131,True
wp_25_Normalized,2930,132,True
wp_19_Normalized,2958,121,True
wp_20_Normalized,3139,121,True
wp_57_Normalized,3211,121,True
wp_30_Normalized,3214,116,True
wp_114_Normalized,3315,117,True
wp_34_Normalized,3589,113,True
wp_103_Normalized,3621,113,True
wp_51_Normalized,3689,116,True
wp_112_Normalized,4072,116,True
wp_107_Normalized,4292,117,True
wp_21_Normalized,4598,115,True
wp_113_Normalized,4621,118,True
wp_47_Normalized,4765,117,True
wp_74_Normalized,4842,115,True
wp_116_Normalized,5076,116,True
wp_33_Normalized,5213,117,True
wp_11_Normalized,5304,118,True
wp_13_Normalized,5621,119,True
wp_28_Normalized,5664,120,True
wp_12_Normalized,5757,118,True
wp_117_Normalized,5770,131,True
wp_29_Normalized,5872,115,True
wp_16_Normalized,5990,114,True
wp_23_Normalized,6047,119,True
wp_73_Normalized,6162,117,True
wp_14_Normalized,6449,118,True
wp_118_Normalized,6845,120,True
wp_81_Normalized,7837,120,True
wp_31_Normalized,8311,129,True
wp_2_Normalized,8902,114,True
wp_100_Normalized,9749,116,True
wp_94_Normalized,23860,139,True
wp_96_Normalized,100027,191,True
wp_53_Normalized,100048,224,True
wp_78_Normalized,100148,195,True
wp_83_Normalized,100192,170,True
wp_8_Normalized,100344,206,True
wp_105_Normalized,100546,156,True
wp_4_Normalized,100554,173,True
wp_1_Normalized,104992,220,True
wp_9_Normalized,105788,222,True
wp_26_Normalized,107125,118,True
wp_5_Normalized,108152,142,True
wp_0_Normalized,109060,213,True
wp_27_Normalized,109508,167,True
wp_15_Normalized,109531,232,True
wp_6_Normalized,111498,201,True
wp_98_Normalized,111978,261,True
wp_123_Normalized,116157,217,True
wp_7_Normalized,116261,122,True
wp_124_Normalized,120959,213,True
wp_3_Normalized,127086,251,True
wp_17_Normalized,139858,246,True
wp_35_Normalized,145128,152,True
