objectId;inSize;totalTime;generated;validated
sp_315_Normalized;439;9357;True;True;
sp_325_Normalized;489;8955;True;True;
sp_327_Normalized;495;8393;True;True;
sp_301_Normalized;513;7989;True;True;
sp_324_Normalized;552;9024;True;True;
sp_318_Normalized;557;8874;True;True;
sp_320_Normalized;621;8037;True;True;
sp_321_Normalized;677;7804;True;False;
sp_326_Normalized;691;8694;True;False;
sp_314_Normalized;734;8180;True;True;
sp_316_Normalized;887;8584;True;True;
sp_322_Normalized;935;8342;True;True;
sp_349_Normalized;937;8094;True;True;
sp_317_Normalized;981;8059;True;True;
sp_312_Normalized;1014;8798;True;True;
sp_313_Normalized;1270;8753;True;True;
sp_323_Normalized;1661;8866;True;True;
sp_335_Normalized;1734;7407;True;True;
sp_332_Normalized;2174;8509;True;True;
sp_344_Normalized;2730;8519;True;True;
sp_350_Normalized;2983;8761;True;True;
sp_319_Normalized;3339;8479;True;True;
sp_300_Normalized;3857;8157;True;True;
sp_337_Normalized;3910;8499;True;True;
sp_329_Normalized;4778;8547;True;True;
sp_340_Normalized;5315;8620;True;True;
sp_351_Normalized;5515;8196;True;False;
sp_308_Normalized;5620;8398;True;True;
sp_336_Normalized;5677;7905;True;True;
sp_302_Normalized;5721;8460;True;True;
sp_303_Normalized;5789;8164;True;True;
sp_304_Normalized;5860;8092;True;True;
sp_305_Normalized;5998;8103;True;True;
sp_306_Normalized;6067;7393;True;True;
sp_307_Normalized;7073;8188;True;False;
sp_352_Normalized;7346;8332;True;False;
sp_348_Normalized;7950;8237;True;False;
sp_347_Normalized;7950;8638;True;False;
